#[CoordinateSystem: ImageJ (Top-Left Origin, Y-down), Raw Pre-Image Space]
Date,SampleID,PositionID,FieldFileName,DefectType,Shape,X_px,Y_px,W_px,H_px,Radius_px,IsPre,IsPost,Confidence,AnnotatedBeforeAnalysis
260826,6,6,6-6-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,6,7,6-7-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,6,8,6-8-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,7,3,7-3-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,7,7,7-7-0.tif,Structural_Defect,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,8,1,8-1-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,1,9-1-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,2,9-2-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,3,9-3-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,4,9-4-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,5,9-5-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,9,6,9-6-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,9,8,9-8-0.tif,Dust_Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,10,1,10-1-0.tif,Stain_Dust,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,10,3,10-3-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,10,5,10-5-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,10,7,10-7-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,11,1,11-1-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,11,3,11-3-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,11,4,11-4-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,11,6,11-6-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,12,2,12-2-0.tif,Dust_Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,12,3,12-3-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
260826,12,4,12-4-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,12,5,12-5-0.tif,Stain,circle,0,0,,,40,TRUE,TRUE,clear,TRUE
260826,12,8,12-8-0.tif,Dust,circle,0,0,,,16,TRUE,TRUE,clear,TRUE
