top_hat,blur,percentile,trim_ratio,true_r2,null_95,p_value,significant
51,7,99.5,0.0,0.3327657108205102,0.35466110871431916,0.066,False
51,5,99.5,0.1,0.3201381365382193,0.3829403647694824,0.087,False
31,7,99.5,0.0,0.30451824199781813,0.3567418914373516,0.093,False
31,5,99.5,0.2,0.30227168627413636,0.377555700729221,0.092,False
51,3,99.5,0.2,0.30180232375044347,0.3906842541745012,0.101,False
51,5,99.5,0.0,0.28325355149565457,0.37629713075196436,0.115,False
31,5,99.5,0.1,0.278025488488385,0.3851368726475104,0.113,False
51,3,99.5,0.1,0.2770943993036682,0.38990590529473557,0.119,False
31,3,99.5,0.2,0.2712031229908769,0.40806562428943804,0.118,False
31,3,99.5,0.1,0.251559051261424,0.3996357006810627,0.138,False
31,5,99.5,0.0,0.24236946426231049,0.38201782554406305,0.148,False
15,7,99.5,0.2,0.2420141462013215,0.38193096563240586,0.142,False
51,3,99.5,0.0,0.23797917240294864,0.3858970185435893,0.152,False
31,3,99.5,0.0,0.21701148802292258,0.3928852305491395,0.18,False
15,7,99.5,0.1,0.19873583094721933,0.39215913563754884,0.192,False
15,7,99.5,0.0,0.16216776509566738,0.3955350381860876,0.244,False
15,5,99.5,0.2,0.1479940930241271,0.4218684859233041,0.264,False
51,7,99.0,0.2,0.13015457326634317,0.40798482130928043,0.315,False
15,3,99.0,0.2,0.12306919821451939,0.4272855352506964,0.311,False
15,5,99.5,0.1,0.11790546869299369,0.41164050027179266,0.33,False
51,7,99.0,0.1,0.10903971660749945,0.39541456490410337,0.358,False
15,5,99.0,0.2,0.10844726058342179,0.413635709831712,0.343,False
15,3,99.5,0.2,0.10398764421685973,0.415009613542032,0.365,False
31,7,99.0,0.2,0.10137611312146956,0.4053557495366107,0.382,False
15,5,99.5,0.0,0.09902838292488443,0.4068616132019815,0.38,False
51,7,99.0,0.0,0.09684621294580906,0.401962600561465,0.388,False
15,3,99.0,0.1,0.09305712268681987,0.4270333642195377,0.387,False
31,7,99.0,0.1,0.08406557761320912,0.402007435471941,0.427,False
15,5,99.0,0.1,0.08310224588643167,0.4332846538855779,0.41,False
15,3,99.5,0.1,0.08209359675000878,0.407778830738539,0.429,False
31,7,99.0,0.0,0.07698740229626591,0.39576019746827484,0.435,False
15,3,99.0,0.0,0.07342028901514208,0.4387418736042455,0.428,False
51,5,99.0,0.2,0.07264093849479471,0.4152621309725187,0.452,False
15,3,99.5,0.0,0.0676307016980348,0.4125576929219778,0.473,False
15,5,99.0,0.0,0.059566545874872805,0.4377187610494814,0.481,False
51,5,99.0,0.1,0.05955183642600728,0.4185673886590072,0.509,False
15,7,99.0,0.2,0.05808715402306405,0.41740954414728526,0.496,False
51,5,99.0,0.0,0.05779268873432702,0.41534309496312605,0.513,False
31,5,99.0,0.2,0.04998553551988482,0.41363732614469295,0.544,False
15,7,99.0,0.1,0.045996744708035484,0.4233002002573739,0.545,False
31,5,99.0,0.1,0.04068774958260327,0.4096535640797684,0.565,False
31,5,99.0,0.0,0.03667136323529237,0.40830218211454244,0.58,False
31,3,99.0,0.2,0.03265084522581895,0.4196583371777922,0.618,False
15,7,99.0,0.0,0.030145953682705902,0.4373654972986026,0.599,False
31,3,99.0,0.1,0.027085452451719772,0.4179270168656384,0.643,False
31,3,99.0,0.0,0.024316410716414535,0.4088461152913534,0.649,False
51,3,99.0,0.2,0.02178227035431573,0.41271975362136765,0.689,False
51,3,99.0,0.0,0.021754848767527285,0.4069838531374665,0.671,False
51,3,99.0,0.1,0.020988829133341304,0.4138092656560194,0.685,False
